timestamp,iq,id,vq,vd,omega,r
0.0,0.0,0.0,0.0,0.0,0.0,964.6229471809154
0.01,0.0,0.0,-102.77958553647717,0.0,42.29888255495376,964.6229471809154
0.02,-23.084378296155833,-0.7089935806141581,-97.19442739659738,0.07160835164202997,90.4909716672096,964.6229471809154
0.03,-23.0751726943153,-1.244048344110134,-93.28108465650725,0.1263578763357377,148.62873759200338,964.6229471809154
0.04,-23.578918105837882,-0.25129465670445583,-88.26318764466684,0.02733380225187433,224.05979375001883,964.6229471809154
0.05,-25.646709736425976,1.1167593261943107,-81.2819901143845,-0.11058835536419664,307.92354408614165,964.6229471809154
0.06,-26.313109269966994,-4.32797777927383,-73.51305492937018,0.4382133329618913,389.4831297517081,964.6229471809154
0.07,-23.031755026777507,-13.44058672445589,-66.29095754947467,1.3629148142045533,468.20779940844153,964.6229471809154
0.08,-20.969708395000804,-8.985042187896285,-59.153684625778034,0.926345402736489,544.0945357640506,964.6229471809154
0.09,-23.250356087096513,-10.895143297157682,-51.787696534306654,1.1282506569597865,571.3975929688617,964.6229471809154
0.1,-16.59536914779822,-15.933712132731554,-50.15296837998531,1.648041252649905,638.263551708161,964.6229471809154
0.11,-19.33866774738464,-15.50528961395346,-43.552448658622986,1.6207042903860494,707.6130274345198,964.6229471809154
0.12,-16.903577406350774,-11.71280202525859,-37.15443496785488,1.253168333541821,729.2201262613472,964.6229471809154
0.13,-13.318212223319655,-19.866085639009345,-35.627645464525244,2.0883627805559057,781.2566814070753,964.6229471809154
0.14,-12.964581431712068,-16.17660023454201,-30.68300376291657,1.7355908403437141,833.0512815862359,964.6229471809154
0.15,-13.764982665607285,-18.96020857075341,-25.594508875117803,2.0329118825356076,849.957962569031,964.6229471809154
0.16,-8.647780102971483,-19.30673532741031,-24.57476104815737,2.086871293528708,897.8927227578382,964.6229471809154
0.17,-9.95341135477473,-11.136255319740968,-19.76063426025327,1.2809595480815146,899.500652215623,964.6229471809154
0.18,-3.285693042646391,-18.657962327189388,-20.381584333992414,2.051788211153546,927.9982756507679,964.6229471809154
0.19,-5.18390336888865,-9.624542656992066,-17.426548181020365,1.1580707867908058,924.8624522532084,964.6229471809154
0.2,-1.8298702133717517,-18.738524495580574,-18.16657444947611,2.0882074951452374,941.961581601317,964.6229471809154
0.21,-2.736561344008307,-9.207231023314998,-16.439010321755255,1.1442853789419947,939.8439083146487,964.6229471809154
0.22,-1.7007545825297115,-19.098404582265363,-16.83053209223543,2.1525011394192965,949.3090716066324,964.6229471809154
0.23,-1.314177935755138,-9.263942705300495,-15.989759294710254,1.1783188944281102,950.5170823274815,964.6229471809154
0.24,-2.1436353160775905,-19.17148310435789,-15.8510598165356,2.1882444174382076,954.0494842904201,964.6229471809154
0.25,-0.32872278060522175,-9.488597590163643,-15.74263728963667,1.2294444636089465,958.9235601235864,964.6229471809154
0.26,-2.8230983826595204,-18.472414331487236,-15.061745293445117,2.146298552072793,957.5274116571711,964.6229471809154
0.27,0.4525606837404874,-9.805660537858532,-15.5895524686938,1.2894288332477812,966.2001677449268,964.6229471809154
0.28,-3.5854448562225416,-16.09316828003551,-14.36638327773306,1.9342727757455145,960.5347135997624,964.6229471809154
0.29,1.220645378487685,-10.201009344643671,-15.471921938248016,1.3552578915509743,972.1446199061975,964.6229471809154
0.3,-4.118117047704477,-10.786084850368805,-13.818478933657126,1.4245515269738567,962.8956559518303,964.6229471809154
0.31,2.0789811191126146,-10.793169448148694,-15.419964342805429,1.436053156199994,975.7862814799647,964.6229471809154
0.32,-3.9323976827324376,-3.131263425739535,-13.56772810024852,0.6729938173848177,964.4369119559764,964.6229471809154
0.33,2.9153847716118095,-11.69053487351764,-15.443615991731019,1.5406114970361457,977.0927231521123,964.6229471809154
0.34,-3.4433695862341853,-3.456424640886081,-13.579304783919131,0.720656898413876,966.5019345460784,964.6229471809154
0.35000000000000003,2.881145499507209,-12.333222728939234,-15.32490637637347,1.6206699299481306,978.5940068085952,964.6229471809154
0.36,-2.912517256307544,-3.6801158082386545,-13.572506131015935,0.7590393536863113,967.7225386985386,964.6229471809154
0.37,2.8131521826548513,-12.915828747345484,-15.285001120414663,1.6955264763443398,979.3999228623326,964.6229471809154
0.38,-2.4785750075548734,-3.9811101376782205,-13.623890283003208,0.8060357255152916,968.0650371473489,964.6229471809154
0.39,2.656162678103318,-13.50905099938865,-15.32313384492176,1.7723388626857233,979.5025816670786,964.6229471809154
0.4,-2.1320691349660414,-4.362809954598854,-13.736600070822554,0.8620775681613424,967.9109108348714,964.6229471809154
0.41000000000000003,2.4161511446122903,-14.131993935865289,-15.402784491084795,1.8531279602238513,979.150309794892,964.6229471809154
0.42,-1.8414816967106713,-4.799701271802147,-13.889768203560193,0.9246983950893392,967.5725520564469,964.6229471809154
0.43,2.111348567606039,-14.776886245837,-15.495056032710586,1.9371937787386613,978.5403429858515,964.6229471809154
0.44,-1.5843990214678518,-5.271262784084243,-14.066256564253576,0.9919026953474699,967.1191793146305,964.6229471809154
0.45,1.753038202938375,-15.43238158044384,-15.594441034304111,2.0234469565638733,977.7075584492001,964.6229471809154
0.46,-1.3552351389048605,-5.775630498650011,-14.263392795448988,1.0635474788831405,966.902284484103,964.6229471809154
0.47000000000000003,1.3446204643532944,-16.094401255237276,-15.666038673119616,2.1115189557971044,976.8811411799119,964.6229471809154
0.48,-1.1328524618440887,-6.2827428542514525,-14.460072200693451,1.1366358585527734,967.0199315128245,964.6229471809154
0.49,0.9012453070622417,-16.73847775568182,-15.701174578743098,2.198947826451492,976.1313305010962,964.6229471809154
0.5,-0.9133252515062908,-6.782914327480935,-14.6492140624797,1.2101743979588846,967.6247723305166,964.6229471809154
0.51,0.42759334758472944,-17.343154200652094,-15.684454131176963,2.2835415394766527,975.578355772477,964.6229471809154
0.52,-0.6876883614720639,-7.258486995432779,-14.818983079516904,1.282333305950154,968.7439457164995,964.6229471809154
0.53,-0.06712615910997144,-17.87717812471136,-15.61335753425094,2.3620795970027233,975.2696450057646,964.6229471809154
0.54,-0.4544602351349011,-7.701360904418435,-14.964011761090457,1.3521992358778492,970.2766642408901,964.6229471809154
0.55,-0.5755879343363812,-18.312633964790734,-15.498031420535538,2.43163917587987,975.169918640275,964.6229471809154
0.56,-0.21933444984823014,-8.113838186762296,-15.086623682284635,1.4198734362637886,972.3687414658316,964.6229471809154
0.5700000000000001,-1.1031165944389159,-18.59244844505015,-15.322575657257765,2.486326910537624,975.4254854305716,964.6229471809154
0.58,0.03387975206558558,-8.477217217288231,-15.17289045503449,1.4832810049787204,975.0375948083944,964.6229471809154
0.59,-1.6370247667147275,-18.62751775106228,-15.085595894821996,2.5169385761071874,976.1044109890026,964.6229471809154
0.6,0.3147360180804437,-8.784622265390341,-15.21598094766187,1.5414336498053838,977.8980708074947,964.6229471809154
0.61,-2.144927512976407,-18.393449729767582,-14.82828395536756,2.520709845972876,976.9758139318417,964.6229471809154
0.62,0.6005982632468438,-9.063126283539388,-15.236366144595856,1.5967406276335956,980.9739925137263,964.6229471809154
0.63,-2.64464994130787,-17.750790888548767,-14.546079801517111,2.4832578790230824,978.0934476474723,964.6229471809154
